calc_time,funding_interval_hours,last_funding_rate
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712160000000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712188800000,8,0.00010000
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712217600000,8,0.00029052
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
1712246400000,8,0.00010000
